;sp260223_002 ch: 1907283U1;;sp260223_002 ch: 7513481SP;
Wavelength [nm];Intensity;Wavelength [nm];intensity;
270,6501;126,65636;255,2800;69,47481;
270,9390;125,62588;255,5672;62,797354;
271,2279;121,75707;255,8544;69,704053;
271,5168;117,63117;256,1416;74,10464;
271,8056;119,44315;256,4288;69,779553;
272,0945;121,04097;256,7160;69,656925;
272,3834;116,3089;257,0032;68,687134;
272,6723;115,81759;257,2904;67,838031;
272,9612;118,89339;257,5776;70,05877;
273,2501;118,03117;257,8648;68,91031;
273,5390;118,12812;258,1519;67,55455;
273,8279;117,28514;258,4391;70,08781;
274,1168;119,81236;258,7263;68,695159;
274,4057;119,49593;259,0135;63,890574;
274,6946;118,14373;259,3007;65,40564;
274,9835;113,97464;259,5879;68,971372;
275,2724;112,80594;259,8751;68,298822;
275,5613;108,05536;260,1623;66,63273;
275,8502;110,19177;260,4495;69,862398;
276,1391;104,91033;260,7367;69,43416;
276,4279;113,58783;261,0239;58,670123;
276,7168;119,82349;261,3110;69,984109;
277,0057;112,98994;261,5982;63,377416;
277,2946;114,85417;261,8854;65,456418;
277,5835;112,24078;262,1726;64,7416;
277,8724;108,69823;262,4598;66,303309;
278,1613;110,23642;262,7470;63,896583;
278,4502;116,1326;263,0342;60,967591;
278,7391;113,06716;263,3214;61,321089;
279,0280;114,62637;263,6086;66,302167;
279,3169;112,11779;263,8958;65,403154;
279,6058;108,62832;264,1830;58,763542;
279,8947;112,0888;264,4702;61,604558;
280,1836;115,59564;264,7573;65,462689;
280,4725;116,71972;265,0445;62,362506;
280,7614;111,12647;265,3317;62,974545;
281,0502;112,0922;265,6189;64,893935;
281,3391;115,44212;265,9061;64,91251;
281,6280;105,37372;266,1933;66,535284;
281,9169;116,16709;266,4805;62,07435;
282,2058;114,39784;266,7677;67,456977;
282,4947;116,79432;267,0549;65,512405;
282,7836;114,85097;267,3421;68,301003;
283,0725;120,06414;267,6293;66,978637;
283,3614;111,26798;267,9164;65,342411;
283,6503;112,07779;268,2036;56,324416;
283,9392;108,9845;268,4908;65,749513;
284,2281;110,07204;268,7780;61,095395;
284,5170;113,93067;269,0652;68,916257;
284,8059;111,47673;269,3524;62,843698;
285,0948;111,04097;269,6396;64,37553;
285,3837;143,85011;269,9268;56,988296;
285,6725;121,29466;270,2140;58,862548;
285,9614;105,73367;270,5012;53,362397;
286,2503;105,26445;270,7884;59,241911;
286,5392;114,28879;271,0756;65,082175;
286,8281;121,75801;271,3627;64,492712;
287,1170;114,59033;271,6499;63,913168;
287,4059;113,43467;271,9371;63,039237;
287,6948;116,63157;272,2243;61,344573;
287,9837;115,1104;272,5115;63,837323;
288,2726;121,35879;272,7987;68,213624;
288,5615;127,50759;273,0859;70,899235;
288,8504;128,44894;273,3731;68,100105;
289,1393;131,42711;273,6603;58,055032;
289,4282;127,45844;273,9475;57,920438;
289,7171;133,98205;274,2347;60,079048;
290,0060;136,88635;274,5218;63,123798;
290,2948;131,57284;274,8090;58,186173;
290,5837;134,85094;275,0962;61,863988;
290,8726;133,80279;275,3834;62,791282;
291,1615;133,338;275,6706;64,540256;
291,4504;134,51356;275,9578;57,9348;
291,7393;132,69998;276,2450;63,939153;
292,0282;127,59483;276,5322;55,127769;
292,3171;132,42155;276,8194;64,785398;
292,6060;126,58806;277,1066;53,073194;
292,8949;136,49974;277,3938;61,187531;
293,1838;131,34595;277,6809;59,856669;
293,4727;133,85836;277,9681;68,127991;
293,7616;134,62408;278,2553;68,03828;
294,0505;127,99899;278,5425;63,528408;
294,3394;122,19329;278,8297;61,442331;
