Wavelength [nm]	Intensity
318.0286	103.53515
318.3175	100.71254
318.6064	89.816018
318.8953	97.058494
319.1842	97.477382
319.4731	105.54194
319.762	101.69351
320.0509	96.630893
320.3398	96.82542
320.6287	96.974627
320.9176	100.22083
321.2065	99.178928
321.4954	99.079618
321.7843	100.66337
322.0732	98.90855
322.3621	97.106032
322.6509	90.751916
322.9398	96.741552
323.2287	91.402477
323.5176	103.45271
323.8065	95.376796
324.0954	95.533182
324.3843	95.807511
324.6732	97.323518
324.9621	95.850849
325.251	109.4009
325.5399	107.05091
325.8288	96.663681
326.1177	97.245389
326.4066	87.841364
326.6955	94.067205
326.9844	95.793448
327.2732	93.643122
327.5621	97.884054
327.851	99.616414
328.1399	97.176609
328.4288	95.162761
328.7177	97.040677
329.0066	99.569236
329.2955	95.383279
329.5844	94.773039
329.8733	96.764718
330.1622	94.961361
330.4511	94.390108
330.74	92.503122
331.0289	96.73207
331.3178	111.1305
331.6067	109.00122
331.8955	100.0312
332.1844	98.536151
332.4733	104.13323
332.7622	101.58342
333.0511	110.27343
333.34	103.17762
333.6289	112.09135
333.9178	106.68634
334.2067	98.20548
334.4956	97.354007
334.7845	111.9605
335.0734	101.05792
335.3623	134.68187
335.6512	112.02507
335.9401	99.688955
336.229	98.581402
336.5178	100.97512
336.8067	103.70919
337.0956	106.70549
337.3845	102.22744
337.6734	103.44702
337.9623	109.80645
338.2512	110.58719
338.5401	105.50006
338.829	108.68976
339.1179	126.58015
339.4068	123.79741
339.6957	101.70576
339.9846	102.61219
340.2735	107.45127
340.5624	104.89148
340.8513	102.15601
341.1401	101.33756
341.429	108.29451
341.7179	110.62135
342.0068	118.5367
342.2957	112.24062
342.5846	103.84452
342.8735	102.35252
343.1624	104.48604
343.4513	107.48787
343.7402	100.96427
344.0291	95.931445
344.318	92.876057
344.6069	83.906
344.8958	81.225932
345.1847	92.496202
345.4736	94.123707
345.7624	83.82004
346.0513	83.583711
346.3402	81.065608
346.6291	78.183464
346.918	88.967304
347.2069	93.984764
347.4958	86.581206
347.7847	85.225208
