Wavelength [nm]	intensity
432.7642	8286.6194
433.0514	8308.1884
433.3386	8338.5023
433.6258	8394.1391
433.913	8408.9776
434.2002	8412.2896
434.4874	8429.4488
434.7746	8460.5633
435.0617	8472.9156
435.3489	8465.1054
435.6361	8501.0386
435.9233	8529.0392
436.2105	8529.7341
436.4977	8544.2846
436.7849	8532.7999
437.0721	8547.4019
437.3593	8592.2864
437.6465	8608.8548
437.9337	8586.8642
438.2209	8578.1042
438.508	8619.2427
438.7952	8625.5633
439.0824	8639.5811
439.3696	8678.4549
439.6568	8703.2497
439.944	8708.8002
440.2312	8751.8002
440.5184	8716.056
440.8056	8740.0018
441.0928	8722.4739
441.38	8770.7802
441.6671	8739.5962
441.9543	8737.4389
442.2415	8780.2975
442.5287	8842.0465
442.8159	8814.9431
443.1031	8841.3226
443.3903	8867.5828
443.6775	8852.0365
443.9647	8887.9917
444.2519	8934.6795
444.5391	8952.1851
444.8263	8950.3773
445.1134	8957.7481
445.4006	8983.5369
445.6878	8986.6202
445.975	9038.8535
446.2622	9055.1407
446.5494	9062.8806
446.8366	9082.7404
447.1238	9100.3253
447.411	9145.7782
447.6982	9185.6018
447.9854	9189.0501
448.2725	9190.8855
448.5597	9225.7748
448.8469	9253.6092
449.1341	9262.4676
449.4213	9307.1691
449.7085	9331.6388
449.9957	9372.1698
450.2829	9390.8378
450.5701	9408.598
450.8573	9405.8596
451.1445	9432.8897
451.4316	9487.3074
451.7188	9559.758
452.006	9540.0395
452.2932	9616.0736
452.5804	9641.9916
452.8676	9715.4058
453.1548	9685.6359
453.442	9744.714
453.7292	9764.9486
454.0164	9874.1771
454.3036	9847.4352
454.5908	9896.0611
454.8779	9904.8794
455.1651	9971.2598
455.4523	10018.933
455.7395	10063.253
456.0267	10088.356
456.3139	10125.214
456.6011	10147.864
456.8883	10203.367
457.1755	10241.466
457.4627	10326.904
457.7499	10339.74
458.037	10350.725
458.3242	10380.367
458.6114	10430.81
458.8986	10482.676
459.1858	10517.706
459.473	10551.385
459.7602	10621.959
460.0474	10683.763
460.3346	10685.275
460.6218	10696.407
460.909	10747.803
461.1962	10805.349
461.4833	10848.523
461.7705	10898.828
462.0577	10980.032
462.3449	11031.844
462.6321	11072.508
462.9193	11126.049
463.2065	11179.614
463.4937	11246.535
463.7809	11293.969
464.0681	11336.852
464.3553	11431.643
464.6424	11548.109
464.9296	11574.542
465.2168	11617.87
465.504	11698.968
465.7912	11767.859
466.0784	11779.751
466.3656	11928.318
466.6528	11988.563
466.94	12077.924
467.2272	12087.001
467.5144	12202.094
467.8015	12285.174
468.0887	12377.621
468.3759	12428.903
468.6631	12515.636
468.9503	12616.429
469.2375	12708.26
469.5247	12737.21
469.8119	12810.764
470.0991	12893.951
470.3863	12994.076
470.6735	13101.653
470.9607	13164.29
471.2478	13258.757
471.535	13387.823
471.8222	13465.574
472.1094	13533.241
472.3966	13607.268
472.6838	13712.116
472.971	13822.644
473.2582	13905.612
473.5454	14039.42
473.8326	14183.734
474.1198	14271.855
474.4069	14352.089
474.6941	14451.199
474.9813	14562.659
475.2685	14675.282
475.5557	14817.084
475.8429	14938.395
476.1301	15055.221
476.4173	15209.568
476.7045	15322.06
476.9917	15411.204
477.2789	15525.558
477.5661	15656.875
477.8532	15821.566
478.1404	15856.06
478.4276	16034.582
478.7148	16125.599
479.002	16319.393
479.2892	16473.974
479.5764	16585.491
479.8636	16717.853
480.1508	16801.983
480.438	17001.741
480.7252	17092.662
481.0123	17190.891
481.2995	17342.627
481.5867	17490.077
481.8739	17649.511
482.1611	17707.203
482.4483	17846.259
482.7355	18009.802
483.0227	18115.222
483.3099	18237.67
483.5971	18339.402
483.8843	18524.116
484.1714	18629.069
484.4586	18720.549
484.7458	18868.925
485.033	19067.206
485.3202	19179.169
485.6074	19315.642
485.8946	19449.545
486.1818	19557.971
486.469	19701.263
486.7562	19844.773
487.0434	19951.614
487.3306	20070.4
487.6177	20199.628
487.9049	20318.508
488.1921	20466.219
488.4793	20548.399
488.7665	20700.55
489.0537	20824.28
489.3409	20945.602
489.6281	21089.356
489.9153	21172.234
490.2025	21295.689
490.4897	21445.762
490.7768	21582.31
491.064	21666.777
491.3512	21730.168
491.6384	21886.288
491.9256	22000.94
492.2128	22116.82
492.5	22178.32
492.7872	22369.788
493.0744	22402.706
493.3616	22548.95
493.6488	22691.197
493.936	22827.547
494.2231	22902.682
494.5103	22966.282
494.7975	23130.175
495.0847	23254.943
